tweets,id,len,date,source,likes,retweets
b'RT @NewsHour: WATCH LIVE: Georgia Gov. Brian Kemp is set to sign controversial abortion bill into law https://t.co/XFJ7vU542C',1125763351940870155,125,2019-05-07 14:04:33,TweetDeck,0,99
b'RT @Reuters: \xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9c@Reuters reporters jailed in Myanmar walk free\xe2\x80\x9d\n\nhttps://t.co/ovZMmhQ12v',1125725227709865984,89,2019-05-07 11:33:03,Twitter for iPhone,0,168
b'RT @ABC: HAPPENING NOW: Pres. Trump awards Tiger Woods the Presidential Medal of Freedom. https://t.co/8L8MYp1ueQ https://t.co/HpGPoRZsNa',1125523667574763520,137,2019-05-06 22:12:08,Twitter for  iPhone,0,120
"b""RT @TwitterSupport: It's easy to express yourself by Retweeting with a comment. What if you could take it a step further and include media?\xe2\x80\xa6""",1125479254106492931,140,2019-05-06 19:15:39,TweetDeck,0,1472
"b'RT @CNN: The #RoyalBaby is finally here. Meghan, Duchess of Sussex, gave birth to a healthy baby boy earlier today. See more here in our la\xe2\x80\xa6'",1125461663514267648,140,2019-05-06 18:05:45,TweetDeck,0,255
"b'RT @CNBC: LIVE: Noted hedge fund manager Larry Robbins, of Glenview Capital, discusses his best idea from @SohnConf. #Sohn2019 https://t.co\xe2\x80\xa6'",1125447975382212611,140,2019-05-06 17:11:21,TweetDeck,0,11
b'ICYMI: Debuting #HerStory on #WorldPressFreedomDay \n\nhttps://t.co/1h3FwNFcAc',1125405787248107521,76,2019-05-06 14:23:43,Twitter Web Client,12,8
"b'RT @ABC: .@ABC News SPECIAL REPORT: Meghan, the Duchess of Sussex, has given birth to her first child. https://t.co/vYrkNZG0oT'",1125404708078870529,126,2019-05-06 14:19:26,Twitter for  iPhone,0,244
b'RT @TIME: Meghan Markle\xe2\x80\x99s Royal Baby Is Here. Here\xe2\x80\x99s a Live Look Outside https://t.co/PLb9RcvXZU',1125398062267011078,96,2019-05-06 13:53:01,Twitter Web App,0,85
b'RT @CNBC: WATCH: Dow plunges more than 450 points after President Trump threatened to hike tariffs on goods imported from China. https://t.\xe2\x80\xa6',1125392752961781761,140,2019-05-06 13:31:55,Twitter for  iPhone,0,180
"b""RT @TwitterWomen: To celebrate #WorldPressFreedomDay , we're launching #HerStory, highlighting the work of female journalists around the wo\xe2\x80\xa6""",1124442383645597697,140,2019-05-03 22:35:30,Twitter for iPhone,0,30
"b'In Brazil, journalists discuss #pressfreedom in times of political polarization. \xe2\xac\x87\xef\xb8\x8f #WorldPressFreedomDay https://t.co/xItMyVrtG8'",1124393244610170886,129,2019-05-03 19:20:14,Twitter Web App,8,4
b'RT @WomenintheWorld: Twitter announces new video series featuring work from top women journalists worldwide:\nhttps://t.co/OHnepxRrKK #HerSt\xe2\x80\xa6',1124390228612079616,140,2019-05-03 19:08:15,Twitter Web App,0,13
b'RT @nehadixit123: On #WorldPressFreedomDay we need more global solidarity #HerStory #PressFreedom #WPFD2019 https://t.co/VvQKxsw1op',1124388783959498753,131,2019-05-03 19:02:30,Twitter Web App,0,118
"b'RT @TimesNow: #WorldPressFreedomDay: TIMES NOW journalist @PadmajaJoshi on the importance of freedom of press in a democracy,&amp; vital role w\xe2\x80\xa6'",1124388499095019522,144,2019-05-03 19:01:22,Twitter Web App,0,9
b'RT @AJEnglish: \xe2\x9a\xa1\xef\xb8\x8f What does #PressFreedom look like today?  \n\n  #WorldPressFreedomDay\n\nhttps://t.co/zr0F4jnuxY',1124387728102166529,110,2019-05-03 18:58:19,Twitter Web App,0,227
"b'RT @jonfortt: The Endgame in Streaming for Disney, and Apple\xe2\x80\x99s Upside | Fortt Knox https://t.co/7QFGeJSgx6'",1124377382100635651,106,2019-05-03 18:17:12,TweetDeck,0,8
"b'Coming \xf0\x9f\x94\x9c, we\xe2\x80\x99ll spotlight @JujuChangABC, @TanzinaVega &amp; many more incredible female storytellers, so stay tuned. Wh\xe2\x80\xa6 https://t.co/p54o6op0aV'",1124373402444292097,144,2019-05-03 18:01:23,Twitter Web App,14,6
"b'RT @TwitterMedia: This #WorldPressFreedomDay, hear from the women on the front lines of journalism. \n\n#HerStory by @TwitterNews highlights\xe2\x80\xa6'",1124371215748145152,139,2019-05-03 17:52:42,TweetDeck,0,17
"b'With her finger on the pulse of #BlackTwitter, @SylviaObell, is able to harness &amp; foster powerful conversations. Sh\xe2\x80\xa6 https://t.co/fllKvmCeei'",1124344178375372801,144,2019-05-03 16:05:16,Twitter Web App,706,63
